Seed: 1 	Score: 7698.000000 	Run time: 0.370616
Seed: 2 	Score: 21120.000000 	Run time: 12.118388
Seed: 3 	Score: 2588.000000 	Run time: 0.624082
Seed: 4 	Score: 39372.000000 	Run time: 7.970733
Seed: 5 	Score: 45005.000000 	Run time: 9.917455
Seed: 6 	Score: 99966.000000 	Run time: 19.068644
Seed: 7 	Score: 13959.000000 	Run time: 4.074893
Seed: 8 	Score: 48311.000000 	Run time: 25.289881
Seed: 9 	Score: 30578.000000 	Run time: 5.334553
Seed: 10 	Score: 2594.000000 	Run time: 5.701963
Seed: 11 	Score: 31824.000000 	Run time: 0.831802
Seed: 12 	Score: 1964.000000 	Run time: 2.361935
Seed: 13 	Score: 5488.000000 	Run time: 1.344791
Seed: 14 	Score: 11693.000000 	Run time: 2.498281
Seed: 15 	Score: 5955.000000 	Run time: 2.069890
Seed: 16 	Score: 62235.000000 	Run time: 7.160336
Seed: 17 	Score: 74779.000000 	Run time: 37.122335
Seed: 18 	Score: 8868.000000 	Run time: 1.691706
Seed: 19 	Score: 44006.000000 	Run time: 14.515256
Seed: 20 	Score: 26378.000000 	Run time: 2.882006
